,Prognosis,Prog_obj
0,15,Fungal infection
1,15,Fungal infection
2,15,Fungal infection
3,15,Fungal infection
4,15,Fungal infection
5,15,Fungal infection
6,15,Fungal infection
7,15,Fungal infection
8,15,Fungal infection
9,15,Fungal infection
10,4,Allergy
11,4,Allergy
12,4,Allergy
13,4,Allergy
14,4,Allergy
15,4,Allergy
16,4,Allergy
17,4,Allergy
18,4,Allergy
19,4,Allergy
20,16,GERD
21,16,GERD
22,16,GERD
23,16,GERD
24,16,GERD
25,16,GERD
26,16,GERD
27,16,GERD
28,16,GERD
29,16,GERD
30,9,Chronic cholestasis
31,9,Chronic cholestasis
32,9,Chronic cholestasis
33,9,Chronic cholestasis
34,9,Chronic cholestasis
35,9,Chronic cholestasis
36,9,Chronic cholestasis
37,9,Chronic cholestasis
38,9,Chronic cholestasis
39,9,Chronic cholestasis
40,14,Drug Reaction
41,14,Drug Reaction
42,14,Drug Reaction
43,14,Drug Reaction
44,14,Drug Reaction
45,14,Drug Reaction
46,14,Drug Reaction
47,14,Drug Reaction
48,14,Drug Reaction
49,14,Drug Reaction
50,33,Peptic ulcer diseae
51,33,Peptic ulcer diseae
52,33,Peptic ulcer diseae
53,33,Peptic ulcer diseae
54,33,Peptic ulcer diseae
55,33,Peptic ulcer diseae
56,33,Peptic ulcer diseae
57,33,Peptic ulcer diseae
58,33,Peptic ulcer diseae
59,33,Peptic ulcer diseae
60,1,AIDS
61,1,AIDS
62,1,AIDS
63,1,AIDS
64,1,AIDS
65,1,AIDS
66,1,AIDS
67,1,AIDS
68,1,AIDS
69,1,AIDS
70,12,Diabetes 
71,12,Diabetes 
72,12,Diabetes 
73,12,Diabetes 
74,12,Diabetes 
75,12,Diabetes 
76,12,Diabetes 
77,12,Diabetes 
78,12,Diabetes 
79,12,Diabetes 
80,17,Gastroenteritis
81,17,Gastroenteritis
82,17,Gastroenteritis
83,17,Gastroenteritis
84,17,Gastroenteritis
85,17,Gastroenteritis
86,17,Gastroenteritis
87,17,Gastroenteritis
88,17,Gastroenteritis
89,17,Gastroenteritis
90,6,Bronchial Asthma
91,6,Bronchial Asthma
92,6,Bronchial Asthma
93,6,Bronchial Asthma
94,6,Bronchial Asthma
95,6,Bronchial Asthma
96,6,Bronchial Asthma
97,6,Bronchial Asthma
98,6,Bronchial Asthma
99,6,Bronchial Asthma
100,23,Hypertension 
101,23,Hypertension 
102,23,Hypertension 
103,23,Hypertension 
104,23,Hypertension 
105,23,Hypertension 
106,23,Hypertension 
107,23,Hypertension 
108,23,Hypertension 
109,23,Hypertension 
110,30,Migraine
111,30,Migraine
112,30,Migraine
113,30,Migraine
114,30,Migraine
115,30,Migraine
116,30,Migraine
117,30,Migraine
118,30,Migraine
119,30,Migraine
120,7,Cervical spondylosis
121,7,Cervical spondylosis
122,7,Cervical spondylosis
123,7,Cervical spondylosis
124,7,Cervical spondylosis
125,7,Cervical spondylosis
126,7,Cervical spondylosis
127,7,Cervical spondylosis
128,7,Cervical spondylosis
129,7,Cervical spondylosis
130,32,Paralysis (brain hemorrhage)
131,32,Paralysis (brain hemorrhage)
132,32,Paralysis (brain hemorrhage)
133,32,Paralysis (brain hemorrhage)
134,32,Paralysis (brain hemorrhage)
135,32,Paralysis (brain hemorrhage)
136,32,Paralysis (brain hemorrhage)
137,32,Paralysis (brain hemorrhage)
138,32,Paralysis (brain hemorrhage)
139,32,Paralysis (brain hemorrhage)
140,28,Jaundice
141,28,Jaundice
142,28,Jaundice
143,28,Jaundice
144,28,Jaundice
145,28,Jaundice
146,28,Jaundice
147,28,Jaundice
148,28,Jaundice
149,28,Jaundice
150,29,Malaria
151,29,Malaria
152,29,Malaria
153,29,Malaria
154,29,Malaria
155,29,Malaria
156,29,Malaria
157,29,Malaria
158,29,Malaria
159,29,Malaria
160,8,Chicken pox
161,8,Chicken pox
162,8,Chicken pox
163,8,Chicken pox
164,8,Chicken pox
165,8,Chicken pox
166,8,Chicken pox
167,8,Chicken pox
168,8,Chicken pox
169,8,Chicken pox
170,11,Dengue
171,11,Dengue
172,11,Dengue
173,11,Dengue
174,11,Dengue
175,11,Dengue
176,11,Dengue
177,11,Dengue
178,11,Dengue
179,11,Dengue
180,37,Typhoid
181,37,Typhoid
182,37,Typhoid
183,37,Typhoid
184,37,Typhoid
185,37,Typhoid
186,37,Typhoid
187,37,Typhoid
188,37,Typhoid
189,37,Typhoid
190,40,hepatitis A
191,40,hepatitis A
192,40,hepatitis A
193,40,hepatitis A
194,40,hepatitis A
195,40,hepatitis A
196,40,hepatitis A
197,40,hepatitis A
198,40,hepatitis A
199,40,hepatitis A
200,19,Hepatitis B
201,19,Hepatitis B
202,19,Hepatitis B
203,19,Hepatitis B
204,19,Hepatitis B
205,19,Hepatitis B
206,19,Hepatitis B
